Date,"BYU Cougars football"
2019-03-31,172
2019-04-01,104
2019-04-02,114
2019-04-03,103
2019-04-04,138
2019-04-05,103
2019-04-06,122
2019-04-07,128
2019-04-08,110
2019-04-09,116
2019-04-10,105
2019-04-11,137
2019-04-12,131
2019-04-13,97
2019-04-14,109
2019-04-15,130
2019-04-16,114
2019-04-17,115
2019-04-18,113
2019-04-19,108
2019-04-20,66
2019-04-21,70
2019-04-22,121
2019-04-23,93
2019-04-24,125
2019-04-25,130
2019-04-26,129
2019-04-27,285
2019-04-28,172
2019-04-29,167
2019-04-30,153
2019-05-01,136
2019-05-02,159
2019-05-03,165
2019-05-04,146
2019-05-05,148
2019-05-06,175
2019-05-07,132
2019-05-08,120
2019-05-09,188
2019-05-10,111
2019-05-11,95
2019-05-12,99
2019-05-13,104
2019-05-14,112
2019-05-15,102
2019-05-16,122
2019-05-17,143
2019-05-18,118
2019-05-19,96
2019-05-20,140
2019-05-21,152
2019-05-22,956
2019-05-23,128
2019-05-24,138
2019-05-25,110
2019-05-26,108
2019-05-27,142
2019-05-28,146
2019-05-29,135
2019-05-30,132
2019-05-31,188
2019-06-01,163
2019-06-02,119
2019-06-03,148
2019-06-04,133
2019-06-05,129
2019-06-06,95
2019-06-07,113
2019-06-08,117
2019-06-09,103
2019-06-10,139
2019-06-11,122
2019-06-12,122
2019-06-13,119
2019-06-14,122
2019-06-15,109
2019-06-16,128
2019-06-17,129
2019-06-18,155
2019-06-19,127
2019-06-20,118
2019-06-21,109
2019-06-22,130
2019-06-23,126
2019-06-24,178
2019-06-25,204
2019-06-26,162
2019-06-27,156
2019-06-28,151
2019-06-29,125
2019-06-30,148
2019-07-01,114
2019-07-02,137
2019-07-03,120
2019-07-04,120
2019-07-05,141
2019-07-06,154
2019-07-07,109
2019-07-08,136
2019-07-09,129
2019-07-10,118
2019-07-11,135
2019-07-12,142
2019-07-13,119
2019-07-14,113
2019-07-15,133
2019-07-16,179
2019-07-17,148
2019-07-18,145
2019-07-19,127
2019-07-20,168
2019-07-21,143
2019-07-22,166
2019-07-23,122
2019-07-24,158
2019-07-25,184
2019-07-26,169
2019-07-27,150
2019-07-28,191
2019-07-29,195
2019-07-30,206
2019-07-31,190
2019-08-01,214
2019-08-02,209
2019-08-03,175
2019-08-04,172
2019-08-05,203
2019-08-06,173
2019-08-07,216
2019-08-08,230
2019-08-09,294
2019-08-10,211
2019-08-11,216
2019-08-12,224
2019-08-13,225
2019-08-14,229
2019-08-15,222
2019-08-16,247
2019-08-17,236
2019-08-18,369
2019-08-19,392
2019-08-20,284
2019-08-21,277
2019-08-22,286
2019-08-23,321
2019-08-24,295
2019-08-25,419
2019-08-26,395
2019-08-27,458
2019-08-28,578
2019-08-29,1060
2019-08-30,4113
2019-08-31,766
2019-09-01,536
2019-09-02,475
2019-09-03,513
2019-09-04,401
2019-09-05,418
2019-09-06,524
2019-09-07,2141
2019-09-08,6015
2019-09-09,945
2019-09-10,1102
2019-09-11,512
2019-09-12,390
2019-09-13,456
2019-09-14,6172
2019-09-15,2420
2019-09-16,918
2019-09-17,618
2019-09-18,546
2019-09-19,499
2019-09-20,499
2019-09-21,2675
